"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_58963","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Scytalidium",NA
"ASV_58965",NA,NA,NA,NA,NA,NA,NA
"ASV_58966","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae",NA,NA
"ASV_58996","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_59026","k__Metazoa","p__Metazoa_phy_Incertae_sedis","c__Metazoa_cls_Incertae_sedis","o__Metazoa_ord_Incertae_sedis","f__Metazoa_fam_Incertae_sedis","g__Metazoa_gen_Incertae_sedis",NA
"ASV_59056","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Meyerozyma","s__guilliermondii"
"ASV_59124","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_59125","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys","s__iridis"
"ASV_59126","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_59127","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__ambigua"
"ASV_59128","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Botryobasidiaceae","g__Botryobasidium","s__candicans"
"ASV_59129","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_59130","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_59131","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis",NA,NA,NA
"ASV_59132","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Apenidiella",NA
"ASV_59134","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Glomerobolus",NA
"ASV_59135","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Colletogloeum",NA
"ASV_59136","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Coriolopsis","s__gallica"
"ASV_59137","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV_59172","k__Metazoa","p__Metazoa_phy_Incertae_sedis","c__Metazoa_cls_Incertae_sedis","o__Metazoa_ord_Incertae_sedis","f__Metazoa_fam_Incertae_sedis","g__Metazoa_gen_Incertae_sedis",NA
"ASV_59186","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"ASV_59205","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cyanodermella",NA
"ASV_59275","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Atractosporales","f__Conlariaceae","g__Conlarium",NA
"ASV_59277","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_59278","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_59279","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreaceae","g__Trichoderma","s__spirale"
"ASV_59281","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae",NA,NA
"ASV_59282","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Fuscoporia",NA
"ASV_59284","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_59286","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae","g__Pseudocoleophoma",NA
"ASV_59287","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Polylobatispora",NA
"ASV_59288",NA,NA,NA,NA,NA,NA,NA
"ASV_59290","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Hericiaceae","g__Hericiaceae_gen_Incertae_sedis",NA
"ASV_59380","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_59381","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__angustispirale"
"ASV_59384","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Chrysozymaceae","g__Udeniozyma",NA
"ASV_59385",NA,NA,NA,NA,NA,NA,NA
"ASV_59386","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__cubensis"
"ASV_59444",NA,NA,NA,NA,NA,NA,NA
"ASV_59550","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_59551","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_59552","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Geastrales","f__Geastraceae","g__Geastrum",NA
"ASV_62699",NA,NA,NA,NA,NA,NA,NA
"ASV_58578","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Tubeufiaceae","g__Helicoma",NA
"ASV_58581","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia","s__pistaciae"
"ASV_58583","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae","g__Austroafricana","s__parva"
"ASV_58586","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Schizophyllaceae","g__Schizophyllum","s__commune"
"ASV_58589","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Hymenochaetaceae","g__Hymenochaete","s__adhaerens"
"ASV_58590","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_58593","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__domesticus"
"ASV_58595","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Corticiales","f__Corticiaceae","g__Limonomyces","s__culmigenus"
"ASV_58596","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Atractosporales","f__Conlariaceae","g__Conlarium",NA
"ASV_58597","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Botryosphaeriales","f__Phyllostictaceae","g__Phyllosticta","s__minima"
"ASV_58598","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Teichosporaceae","g__Floricola","s__festucae"
"ASV_58599","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Torulaceae","g__Torula","s__fici"
"ASV_58601","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Scolecobasidium",NA
"ASV_58606","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_58607","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"ASV_58608","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Phanerochaete","s__rhodella"
"ASV_58610","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_58615","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Onygenales","f__Ascosphaeraceae","g__Ascosphaeraceae_gen_Incertae_sedis",NA
"ASV_58617","k__Fungi","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA
"ASV_58621","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58622","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Eutypella","s__quercina"
"ASV_58624","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58626","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Setophoma","s__caverna"
"ASV_58628","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Kondoaceae","g__Kondoa","s__rhododendri"
"ASV_58632","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniopsis","s__paraclavulata"
"ASV_58633","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__livistonae"
"ASV_58634","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae",NA,NA
"ASV_58635","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58637","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus",NA
"ASV_58638","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Gymnopilus","s__ochraceus"
"ASV_58640","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Parastagonospora","s__poae"
"ASV_58641","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Auriculariales","f__Exidiaceae","g__Exidia",NA
"ASV_58644","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58645","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58646","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae",NA,NA
"ASV_58647","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Omphalotaceae","g__Gymnopus","s__spongiosus"
"ASV_58648","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Microcyclospora","s__tardicrescens"
"ASV_58652","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Dictyosporiaceae",NA,NA
"ASV_58654","k__Fungi","p__Ascomycota","c__Pezizomycotina_cls_Incertae_sedis","o__Pezizomycotina_ord_Incertae_sedis","f__Pezizomycotina_fam_Incertae_sedis","g__Polylobatispora",NA
"ASV_58655","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Septobasidiales","f__Septobasidiaceae","g__Septobasidium",NA
"ASV_58661",NA,NA,NA,NA,NA,NA,NA
"ASV_58662","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_58663","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_58667","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Rhizophydiales_gen_Incertae_sedis",NA
"ASV_58671","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_58673","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Psathyrella","s__prona"
"ASV_58675","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Caliciopsis","s__beckhausii"
"ASV_58676","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_58680","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_58688","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_58689",NA,NA,NA,NA,NA,NA,NA
"ASV_58692","k__Metazoa","p__Metazoa_phy_Incertae_sedis","c__Metazoa_cls_Incertae_sedis","o__Metazoa_ord_Incertae_sedis","f__Metazoa_fam_Incertae_sedis","g__Metazoa_gen_Incertae_sedis",NA
"ASV_58695","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Asparagales","f__Amaryllidaceae","g__Allium","s__ampeloprasum"
"ASV_58699","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_58722","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Montagnula",NA
"ASV_58727","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_58728","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_58731","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58735","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideomycetes_ord_Incertae_sedis","f__Dothideomycetes_fam_Incertae_sedis","g__Radulidium",NA
"ASV_58738","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58742","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_58744","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Sclerotiniaceae","g__Clarireedia","s__homoeocarpa"
"ASV_58745","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_58748","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria","s__pseudoamylolytica"
"ASV_58750","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58752","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Didymocyrtis",NA
"ASV_58753","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae",NA,NA
"ASV_58757","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58759","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricomycetes_ord_Incertae_sedis","f__Agaricomycetes_fam_Incertae_sedis","g__Xenasmatella","s__christiansenii"
"ASV_58760","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__citri"
"ASV_58762","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Stachybotryaceae","g__Alfaria",NA
"ASV_58768","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_58769","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","g__Orbiliales_gen_Incertae_sedis",NA
"ASV_58770","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Patellariales","f__Patellariales_fam_Incertae_sedis","g__Hysteropatella","s__elliptica"
"ASV_58775","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Phaeomoniellales","f__Phaeomoniellaceae","g__Nothophaeomoniella","s__ekebergiae"
"ASV_58778","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Lecanosticta",NA
"ASV_58779","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_58782","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Tinctoporellus","s__bubalinus"
"ASV_58783",NA,NA,NA,NA,NA,NA,NA
"ASV_58785","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Petrophila",NA
"ASV_58786",NA,NA,NA,NA,NA,NA,NA
"ASV_58789","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58791","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Tubeufiales","f__Wiesneriomycetaceae","g__Spissiomyces",NA
"ASV_58795","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Entolomataceae","g__Entoloma","s__luteofuscum"
"ASV_58796","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__globosum"
"ASV_58797","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Xylochrysis","s__lucida"
"ASV_58798","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Boletales","f__Boletales_fam_Incertae_sedis","g__Leucogyrophana","s__mollusca"
"ASV_58802","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Teratosphaeriaceae",NA,NA
"ASV_58806","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58807","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Meruliaceae","g__Phlebia","s__brevispora"
"ASV_58808","k__Viridiplantae","p__Anthophyta","c__Monocotyledonae","o__Poales","f__Poaceae","g__Triticum","s__timopheevii"
"ASV_58809","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_58811","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales",NA,NA,NA
"ASV_58812","k__Fungi","p__Ascomycota","c__Candelariomycetes","o__Candelariales","f__Candelariaceae","g__Candelariella",NA
"ASV_58813","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Retiarius","s__revayae"
"ASV_58828","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_58829","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomatales_fam_Incertae_sedis","g__Entylomatales_gen_Incertae_sedis",NA
"ASV_58831","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Fomitopsidaceae","g__Laetiporus",NA
"ASV_58833","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Ovatospora","s__mollicella"
"ASV_58835","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Gnomoniaceae_gen_Incertae_sedis",NA
"ASV_58840","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58841","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58842","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__versiformis"
"ASV_58843",NA,NA,NA,NA,NA,NA,NA
"ASV_58845","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Extremaceae","g__Incertomyces",NA
"ASV_58846","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58847","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Cryptodiscus",NA
"ASV_58848","k__Eukaryota_kgd_Incertae_sedis","p__Eukaryota_phy_Incertae_sedis","c__Eukaryota_cls_Incertae_sedis","o__Eukaryota_ord_Incertae_sedis","f__Eukaryota_fam_Incertae_sedis","g__Eukaryota_gen_Incertae_sedis",NA
"ASV_58852","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Amanitaceae","g__Amanita",NA
"ASV_58853","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiaceae","g__Myriangium","s__duriaei"
"ASV_58854","k__Fungi","p__Basidiomycota","c__Atractiellomycetes","o__Atractiellales","f__Phleogenaceae","g__Atractidochium","s__hillariae"
"ASV_58855","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58859","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Rhodotorula","s__taiwanensis"
"ASV_58865","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_58867","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Trichobotrys","s__effusa"
"ASV_58869","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58870",NA,NA,NA,NA,NA,NA,NA
"ASV_58871",NA,NA,NA,NA,NA,NA,NA
"ASV_58872","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"ASV_58873","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia","s__adiastola"
"ASV_58876","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Curvularia","s__mebaldsii"
"ASV_58877","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58879","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiaceae","g__Myriangium",NA
"ASV_58882","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_58884","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Parasola",NA
"ASV_58886","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Querciphoma",NA
"ASV_58887","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Tricladiaceae","g__Tricladium","s__angustum"
"ASV_58889","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58894","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales",NA,NA,NA
"ASV_58895","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales",NA,NA,NA
"ASV_58897","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_58902",NA,NA,NA,NA,NA,NA,NA
"ASV_58907","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Nemania",NA
"ASV_58911","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales",NA,NA,NA
"ASV_58912","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis",NA,NA,NA
"ASV_58913","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58918","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Kochiomyces",NA
"ASV_58923","k__Fungi","p__Ascomycota","c__Sordariomycetes",NA,NA,NA,NA
"ASV_58924","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_58925","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__duplex"
"ASV_58926","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Eurotiales","f__Aspergillaceae","g__Talaromyces",NA
"ASV_58931","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58935","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes",NA,NA,NA,NA
"ASV_58937",NA,NA,NA,NA,NA,NA,NA
"ASV_58938","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58939","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58940","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Sebacinales",NA,NA,NA
"ASV_58945","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Boliniales","f__Boliniales_fam_Incertae_sedis","g__Paramicrothyrium",NA
"ASV_58948","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Teloschistales","f__Teloschistaceae",NA,NA
"ASV_58949","k__Fungi","p__Rozellomycota","c__Rozellomycota_cls_Incertae_sedis","o__Rozellomycota_ord_Incertae_sedis","f__Rozellomycota_fam_Incertae_sedis","g__Rozellomycota_gen_Incertae_sedis",NA
"ASV_58952","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_58953","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeriaceae_gen_Incertae_sedis",NA
"ASV_58955","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58968","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lentitheciaceae","g__Lentitheciaceae_gen_Incertae_sedis",NA
"ASV_58976","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Neovaginatispora","s__clematidis"
"ASV_58979","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58982","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_58988","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae","g__Drepanopeziza","s__brunnea"
"ASV_58991",NA,NA,NA,NA,NA,NA,NA
"ASV_58995","k__Fungi","p__Chytridiomycota",NA,NA,NA,NA,NA
"ASV_58999","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_59000",NA,NA,NA,NA,NA,NA,NA
"ASV_59001","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_59004","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliales_fam_Incertae_sedis","g__Orbiliales_gen_Incertae_sedis",NA
"ASV_59007","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_59009","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Chaetomiaceae","g__Chaetomium","s__globosum"
"ASV_59010","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Ostropales","f__Stictidaceae","g__Eriospora","s__leucostoma"
"ASV_59012","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Pyrenophora","s__biseptata"
"ASV_59016","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neodevriesiaceae",NA,NA
"ASV_59020","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"ASV_59022","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomataceae","g__Entyloma","s__randwijkense"
"ASV_59023",NA,NA,NA,NA,NA,NA,NA
"ASV_59031",NA,NA,NA,NA,NA,NA,NA
"ASV_59033","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Teichosporaceae","g__Teichosporaceae_gen_Incertae_sedis",NA
"ASV_59034","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_59035","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__versiformis"
"ASV_59041","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"ASV_59044","k__Rhizaria","p__Cercozoa","c__Cercozoa_cls_Incertae_sedis","o__Cercozoa_ord_Incertae_sedis","f__Cercozoa_fam_Incertae_sedis","g__Cercozoa_gen_Incertae_sedis",NA
"ASV_59045",NA,NA,NA,NA,NA,NA,NA
"ASV_59046","k__Fungi",NA,NA,NA,NA,NA,NA
