"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_36796","k__Fungi","p__Olpidiomycota","c__GS18","o__GS18_ord_Incertae_sedis","f__GS18_fam_Incertae_sedis","g__GS18_gen_Incertae_sedis",NA
"ASV_36804",NA,NA,NA,NA,NA,NA,NA
"ASV_36810","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"ASV_36812","k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_36813","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Sordariales","f__Sordariales_fam_Incertae_sedis","g__Clathrosporium","s__intricatum"
"ASV_36816","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria",NA
"ASV_36821","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia","s__massachusettsianum"
"ASV_36822",NA,NA,NA,NA,NA,NA,NA
"ASV_36824",NA,NA,NA,NA,NA,NA,NA
"ASV_36852",NA,NA,NA,NA,NA,NA,NA
"ASV_36872",NA,NA,NA,NA,NA,NA,NA
"ASV_36874","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"ASV_36877",NA,NA,NA,NA,NA,NA,NA
"ASV_36879","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Capnodiales_fam_Incertae_sedis","g__Sporidesmajora","s__pennsylvaniensis"
"ASV_36880",NA,NA,NA,NA,NA,NA,NA
"ASV_36881","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__boothii"
"ASV_36898","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Russulaceae","g__Boidinia",NA
"ASV_36903",NA,NA,NA,NA,NA,NA,NA
"ASV_36905",NA,NA,NA,NA,NA,NA,NA
"ASV_36906","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae",NA,NA
"ASV_36921","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"ASV_36924","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiaceae","g__Myriangium","s__duriaei"
"ASV_36927","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Marasmiaceae","g__Marasmius","s__nodulocystis"
"ASV_36928","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Exserohilum","s__gedarefense"
"ASV_36929","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Cyphellophoraceae","g__Cyphellophora","s__vermispora"
"ASV_36931","k__Fungi","p__Chytridiomycota","c__Spizellomycetes","o__Spizellomycetales","f__Spizellomycetaceae","g__Spizellomyces","s__pseudodichotomus"
"ASV_36934","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__caricicola"
"ASV_36943","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_36944","k__Metazoa","p__Metazoa_phy_Incertae_sedis","c__Metazoa_cls_Incertae_sedis","o__Metazoa_ord_Incertae_sedis","f__Metazoa_fam_Incertae_sedis","g__Metazoa_gen_Incertae_sedis",NA
